A,B,C,D,E,F
,,,,802547008721,0.15
,,,,802824940690,0.14
,,,,802824943683,0.15
,,,,880153826827819530,0.16
,,,,500147980074,0.11
,,,,200166959949,0.55
,,,,802824905811,0.12
,,,,802824902712,0.22
,,,,880153427435536702,0.3
,,,,500132958926,0.15
,,,,802824945680,0.2
,,,,802824941270,0.1
,,,,802633068581,0.15
,,,,500132988021,12.2
,,,,802633076662,0.08
,,,,802720845487,0.15
,,,,500132988453,28.65
,,,,500147988804,0.25
,,,,100360196530,0.4
,,,,802720952924,0.14
,,,,802633080679,0.05
,,,,880150350029607419,0.12
,,,,880149874399536702,0.15
,,,,802824904712,0.1
,,,,802633080487,0.1
,,,,802546968283,0.1
,,,,802633085344,0.15
,,,,500132988386,8
,,,,500132988454,24.1
,,,,500132988307,19
,,,,500148572472,0.95
,,,,500132988452,13.45
,,,,802547007170,0.1
,,,,500132988387,29
,,,,802720946256,0.1
,,,,802824912619,0.05
,,,,100360189426,0.2
,,,,802720933556,0.08
,,,,802720943021,0.15
,,,,500132995763,1
,,,,802824944243,0.25
,,,,802720792495,0.05
,,,,802633019886,0.14
,,,,880151397057647813,0.16
,,,,802720979368,0.2
,,,,802720911553,0.15
,,,,560093814780,0.7
,,,,500147980440,7
,,,,500132962504,1.3
,,,,880150840553920641,0.25
,,,,802720933938,0.08
,,,,802720903663,0.15
,,,,802632938623,0.05
,,,,802824905246,0.15
,,,,802720927878,0.05
,,,,802632793690,0.05
,,,,500132981857,0.41
,,,,802632939747,0.15
,,,,802546977598,0.3
,,,,500147988625,0.2
,,,,880149225852526601,0.35
,,,,802633022457,0.2
,,,,802720977344,0.12
,,,,802633021481,0.2
,,,,802824943548,0.12
,,,,802633085675,0.1
,,,,500132975430,12.2
,,,,802632938552,0.1
,,,,802720929885,0.1
,,,,100348095997,0.2
,,,,100360188849,0.15
,,,,802720923990,0.1
,,,,802632791898,0.02
,,,,802720903004,0.2
,,,,802546970939,0.25
,,,,100374194568,5.95
,,,,880153466891920641,0.54
,,,,880153130160304489,0.45
,,,,880150514664162065,0.22
,,,,802720931343,0.05
,,,,802633043731,0.1
,,,,100374194741,1.01
,,,,802633068594,0.12
,,,,500147988797,0.05
,,,,802720964132,0.06
,,,,802633076731,0.15
,,,,802633075963,0.1
,,,,802824915139,0.25
,,,,880151489374051954,0.2
,,,,100363326801,0.37
,,,,100360197954,1.35
,,,,880150808967011550,0.2
,,,,560093847052,0.75
,,,,100348124485,2.17
,,,,100348092662,0.36
,,,,100363304775,2.9
,,,,802720928357,0.14
,,,,802720971713,0.16
,,,,880147792785213570,0.2
,,,,880151511349112560,0.5
,,,,500132962724,0.3
,,,,802824910993,0.1
,,,,500147988769,0.25
,,,,880150996590738722,0.2
,,,,802824917772,0.25
,,,,802824960984,0.2
,,,,100363334654,1.1
,,,,880148502967859934,0.2
,,,,880147729430071156,0.1
,,,,802633040837,0.04
,,,,802633081726,0.1
,,,,802720951072,0.05
,,,,200171826678,0.2
,,,,880150042146859934,0.7
,,,,100360189187,1.15
,,,,802720934167,0.08
,,,,802720906728,0.15
,,,,500127324436,0.35
,,,,880146248177637712,0.42
,,,,100374194063,0.73
,,,,100360194171,0.24
,,,,802546972167,0.25
,,,,880149909658879136,0.08
,,,,802720926049,0.1
,,,,880141574112243873,0.15
,,,,100360196548,1.65
,,,,802633082965,0.15
,,,,802633079650,0.15
,,,,802720979259,0.2
,,,,560079881921,0.19
,,,,802720956338,0.08
,,,,880149800086182267,0.14
,,,,802632796395,0.05
,,,,802633076235,0.1
,,,,802824904010,0.2
,,,,100360194152,0.6
,,,,880151527295849833,0.28
,,,,100348098226,0.55
,,,,802824942673,0.06
,,,,802720826827,0.1
,,,,802632789647,0.1
,,,,802720905883,0.06
,,,,802632923408,0.05
,,,,880147972531465095,0.3
,,,,802632937452,0.15
,,,,802824923339,0.35
,,,,802633071348,0.1
,,,,802720987802,0.1
,,,,802633020117,0.16
,,,,500132995451,1.92
,,,,880152427361667015,0.8
,,,,802632909786,0.1
,,,,880153059359091358,0.35
,,,,880146836563081257,0.04
,,,,802632925154,0.2
,,,,880152371832061055,0.3
,,,,880148460584960045,0.05
,,,,100363329773,16.45
,,,,802547008783,0.15
,,,,802720909958,0.04
,,,,802824940752,0.25
,,,,500148572827,0.23
,,,,802720968933,0.06
,,,,802824940558,0.16
,,,,802824903125,0.15
,,,,802720957997,0.1
,,,,500147990331,1.2
,,,,802720901060,0.1
,,,,802632934874,0.2
,,,,802633077213,0.08
,,,,802720974003,0.06
,,,,802632741502,0.7
,,,,880150271023940843,0.85
,,,,802720969192,0.15
,,,,802632737933,0.4
,,,,802720941618,0.15
,,,,802152756533,0.25
,,,,802633076123,0.08
,,,,802824920254,0.25
,,,,802632908952,0.3
,,,,880151381131900449,0.1
,,,,880153683502001459,0.25
,,,,802720979177,0.18
,,,,802633074865,0.15
,,,,802633083685,0.2
,,,,802720987556,0.1
,,,,802720952666,0.05
,,,,802824942523,0.25
,,,,880151339542950944,0.84
,,,,880150341110869035,0.85
,,,,802632926586,0.15
,,,,802720950686,0.16
,,,,802720956213,0.12
,,,,100360188816,0.14
,,,,802633021772,0.2
,,,,802632799354,0.05
,,,,802720946506,0.1
,,,,802720926432,0.1
,,,,802367161003,0.55
,,,,500147988582,0.05
,,,,802824918879,0.05
,,,,802632753468,0.1
,,,,802720941853,0.1
,,,,802720989334,0.15
,,,,560093814399,1.05
,,,,880150020664374186,0.4
,,,,802720886845,0.2
,,,,100360188239,5.8
,,,,500132995777,1.25
,,,,802632798897,0.05
,,,,600067274514,0.23
,,,,500127324401,0.15
,,,,802720947157,0.1
,,,,880149471118526601,0.4
,,,,802824918430,0.35
,,,,802546978634,0.25
,,,,802633079307,0.15
,,,,802720875748,0.18
,,,,802367165170,0.05
,,,,200172482187,0.6
,,,,802632923845,0.2
,,,,802720907096,0.16
,,,,802720907096,0.16
,,,,500132985797,0.4
,,,,560093812201,0.55
,,,,802632786957,0.2
,,,,500132955474,6.15
,,,,880147989233374186,0.75
,,,,500132971609,0.25
,,,,880152418692526601,0.95
,,,,802720945233,0.1
,,,,802632774990,0.04
,,,,802720966150,0.1
,,,,880153012944718520,0.5
,,,,802546969914,0.2
,,,,802633072910,0.18
,,,,802720946781,0.1
,,,,802633073748,0.05
,,,,802720919427,0.1
,,,,5368543294,0.55
,,,,802367158772,0.05
,,,,802824920960,0.25
,,,,200172482234,0.2
,,,,100360197774,0.2
,,,,802632908881,0.15
,,,,100260679867,0.34
,,,,802632921889,0.2
,,,,802720939405,0.08
,,,,802824914407,0.35
,,,,100348098464,1.4
,,,,802632923548,0.05
,,,,500147980407,0.15
,,,,100360194840,0.9
,,,,880149887666990348,0.05
,,,,100200868861,0.45
,,,,500132975408,0.2
,,,,802720936333,0.15
,,,,880149367489182267,0.2
,,,,802546978582,0.15
,,,,802633074227,0.15
,,,,802633074227,0.15
,,,,100325315560,0.4
,,,,500132966713,0.26
,,,,100363304049,0.25
,,,,802720926148,0.15
,,,,100348098787,0.15
,,,,200172513053,0.15
,,,,200166959957,0.53
,,,,100306985169,0.5
,,,,802720931110,0.15
,,,,802720923718,0.1
,,,,200171826682,0.25
,,,,500132955476,2.85
,,,,100360196742,0.7
,,,,802633014106,0.14
,,,,802633077734,0.25
,,,,802632922846,0.15
,,,,802632922132,0.15
,,,,100360187237,3.5
,,,,880149375143546803,0.35
,,,,600066068883,2.65
,,,,500132995774,0.05
,,,,880149856089061055,0.35
,,,,600037999537,1.6
,,,,500147990619,5.82
,,,,802632924773,0.25
,,,,802720985246,0.15
,,,,500132997211,2.37
,,,,802824906711,0.18
,,,,802824946283,0.06
,,,,802720912994,0.1
,,,,100363334725,1.45
,,,,100348098219,1.06
,,,,802720871389,0.1
,,,,802824912575,0.14
,,,,200172544489,0.25
,,,,802720878412,0.15
,,,,802632923226,0.2
,,,,802632937756,0.15
,,,,802632738025,0.35
,,,,802632935845,0.05
,,,,802720896469,0.1
,,,,802824922358,0.15
,,,,802824920297,0.2
,,,,100363334746,0.1
,,,,880151071240344883,0.15
,,,,500132985833,0.5
,,,,500132955852,2.4
,,,,500132958236,4.2
,,,,802824944625,0.06
,,,,802633055603,0.15
,,,,802720913353,0.08
,,,,200171838313,1.55
,,,,880150801075910540,0.3
,,,,802824907235,0.08
,,,,802720982029,0.05
,,,,802824919572,0.05
,,,,802633064630,0.15
,,,,802720921224,0.15
,,,,802720940096,0.08
,,,,802632922290,0.1
,,,,802632792440,0.1
,,,,802720900769,0.15
,,,,802720961193,0.15
,,,,802546975936,0.15
,,,,802824921694,0.25
,,,,500132955425,0.2
,,,,560079881942,0.11
,,,,802632787141,0.08
,,,,802633066187,0.15
,,,,802720922138,0.15
,,,,802633080337,0.2
,,,,802632796225,0.1
,,,,802633046727,0.1
,,,,802633085134,0.05
,,,,880147737240980247,0.2
,,,,100348095801,0.4
,,,,100360187151,0.1
,,,,880150769547031752,0.3
,,,,802720988279,0.15
,,,,802632922315,0.2
,,,,802720903336,0.15
,,,,880153882089657914,0.4
,,,,200166983484,0.8
,,,,802720929823,0.2
,,,,100363311404,0.2
,,,,802720922899,0.2
,,,,802546967637,0.25
,,,,802720948661,0.1
,,,,500147988761,0.15
,,,,100363329934,0.14
,,,,802720844468,0.1
,,,,802720970685,0.15
,,,,802720928252,0.12
,,,,100360187307,0.39
,,,,802720911873,0.05
,,,,802720953633,0.15
,,,,880151519236869035,0.35
,,,,802720926120,0.15
,,,,500147999435,0.35
,,,,100363326563,0.07
,,,,802633054061,0.15
,,,,802824921420,0.25
,,,,880151102929900449,0.3
,,,,802720941761,0.12
,,,,802633065496,0.14
,,,,802720895132,0.1
,,,,802633066057,0.15
,,,,880150262662637712,0.2
,,,,500148572558,0.7
,,,,802633075113,0.06
,,,,802824901846,0.15
,,,,802824904723,0.08
,,,,802720963368,0.1
,,,,802720975289,0.55
,,,,100360189192,0.45
,,,,500132966637,0.52
,,,,802824919396,0.1
,,,,802720861839,0.15
,,,,560079881974,0.3
,,,,802633067968,0.1
,,,,802720973876,0.06
,,,,100348098840,0.15
,,,,880151443461445893,0.35
,,,,802633076766,0.1
,,,,802720972410,0.05
,,,,880151795816768025,0.3
,,,,802632772305,0.05
,,,,802824921067,0.3
,,,,100363334109,0.32
,,,,880151323837980247,0.88
,,,,802720935635,0.15
,,,,200172513045,0.15
,,,,802632743641,0.45
,,,,802633078446,0.04
,,,,880149801384738722,0.36
,,,,100374194729,0.58
,,,,802824924951,0.15
,,,,802546975836,0.2
,,,,802720971805,0.04
,,,,802632937136,0.16
,,,,802720964003,0.1
,,,,802632743568,0.75
,,,,802720862646,0.08
,,,,802633077181,0.14
,,,,880150341108112560,0.85
,,,,802720907887,0.15
,,,,500132995756,0.05
,,,,802720939064,0.05
,,,,802720974664,0.06
,,,,802720936039,0.1
,,,,802720932993,0.1
,,,,802720902889,0.2
,,,,802824916921,0.15
,,,,100348079487,6.3
,,,,802367158753,0.1
,,,,802633021473,0.15
,,,,802546920072,0.05
,,,,500147980039,0.4
,,,,802546975458,0.2
,,,,802824906237,0.1
,,,,802720949096,0.1
,,,,100360187155,0.25
,,,,802824943476,0.15
,,,,100360197735,0.1
,,,,880151449624687217,0.08
,,,,500147990371,0.3
,,,,802633077075,0.14
,,,,802720932781,0.15
,,,,802824916320,0.3
,,,,600093478442,0.3
,,,,802152755888,0.11
,,,,880152451771839732,0.2
,,,,500133889407,0.3
,,,,802824915486,0.1
,,,,802720970518,0.15
,,,,802720950420,0.1
,,,,802824910164,0.15
,,,,500132958972,0.85
,,,,802633063149,0.1
,,,,100286960971,0.76
,,,,802824900999,0.1
,,,,880151621631051954,0.3
,,,,802632931277,0.15
,,,,802546979235,0.2
,,,,880151528145304489,0.08
,,,,802720860514,0.05
,,,,500132958979,0.2
,,,,802720974636,0.08
,,,,500147980421,0.07
,,,,802632776534,0.18
,,,,200171831827,1.7
,,,,802632798286,0.15
,,,,802720960243,0.1
,,,,802633061791,0.1
,,,,560093847395,0.05
,,,,802633049766,0.1
,,,,802633022442,0.2
,,,,802720912072,0.1
,,,,802633020191,0.15
,,,,802720922764,0.05
,,,,100360188828,0.2
,,,,802152756366,0.1
,,,,100363342319,0.16
,,,,802720956905,0.15
,,,,880149909661081257,1.25
,,,,802633021312,0.1
,,,,802633056593,0.14
,,,,880148525730930742,0.3
,,,,802633075080,0.15
,,,,802720933622,0.15
,,,,802720953085,0.1
,,,,802632790885,0.15
,,,,802720925640,0.1
,,,,802633074110,0.08
,,,,802720934258,0.1
,,,,100360418890,0.3
,,,,500132988128,0.45
,,,,500127306521,3.05
,,,,802824945211,0.2
,,,,802633056713,0.1
,,,,802633070590,0.05
,,,,100363334710,0.45
,,,,802720953171,0.04
,,,,802720928492,0.12
,,,,802720927897,0.1
,,,,880149430547526601,0.35
,,,,200171838302,1.4
,,,,100306955883,0.45
,,,,802720979634,0.14
,,,,802824945966,0.25
,,,,802632740534,0.4
,,,,880151874362374186,0.1
,,,,802632922124,0.2
,,,,500147988413,0.05
,,,,802720959177,0.1
,,,,802720887835,0.1
,,,,500147999429,0.25
,,,,802720922885,0.1
,,,,802720852475,0.12
,,,,500148572493,0.95
,,,,802824907776,0.1
,,,,802824922975,0.35
,,,,802633070845,0.08
,,,,880151783452223671,0.3
,,,,500147980395,0.28
,,,,100363342317,0.21
,,,,200171826694,0.1
,,,,500133889353,0.25
,,,,802632795061,0.05
,,,,802367166488,0.05
,,,,880149453527637712,0.75
,,,,500132955330,1.01
,,,,500132955330,1.01
,,,,500148572115,9.65
,,,,100348093734,0.9
,,,,100374194725,0.4
,,,,500132962673,0.15
,,,,802633080015,0.1
,,,,802720918256,0.15
,,,,802720930106,0.1
,,,,500132985457,1.3
,,,,802720896173,0.05
,,,,880149872900364085,0.86
,,,,802824906987,0.08
,,,,802633056978,0.06
,,,,500147990262,1.1
,,,,802633055729,0.15
,,,,880151405131697318,0.32
,,,,100348098831,0.2
,,,,802633051031,0.1
,,,,802720955495,0.12
,,,,802367165372,0.2
,,,,880151503029879136,1
,,,,600037999535,1.2
,,,,802546972183,0.25
,,,,802720971089,0.05
,,,,802633079027,0.12
,,,,802824920934,0.25
,,,,560093814547,0.55
,,,,802824917179,0.4
,,,,802720954347,0.16
,,,,100363334932,0.4
,,,,200171826666,0.45
,,,,802720901729,0.1
,,,,802632742344,0.8
,,,,100374198072,0.32
,,,,802546979249,0.1
,,,,880150341109576106,0.86
,,,,500132981620,1.6
,,,,802720902076,0.05
,,,,100374194420,0.8
,,,,802720926351,0.05
,,,,802633042956,0.15
,,,,802546976799,0.15
,,,,880149933403425691,0.18
,,,,802720940351,0.15
,,,,802632743474,0.6
,,,,802720924791,0.15
,,,,200171826190,0.05
,,,,802720945481,0.1
,,,,802632799664,0.3
,,,,802824911010,0.1
,,,,802633071298,0.06
,,,,802824903087,0.1
,,,,802720956295,0.1
,,,,560093847396,0.2
,,,,200172482235,0.2
,,,,802720940443,0.18
,,,,802720915142,0.2
,,,,802720976934,0.15
,,,,802632921857,0.2
,,,,100363334114,0.25
,,,,802633068944,0.08
,,,,500132955833,8.9
,,,,802632923646,1.45
,,,,802720972202,0.1
,,,,802720873617,0.05
,,,,802720829615,0.2
,,,,500133889423,0.5
,,,,802632791310,0.12
,,,,100374194751,0.57
,,,,802632794420,0.3
,,,,100363311387,0.12
,,,,802720928435,0.12
,,,,802633063204,0.1
,,,,880152419208900449,0.32
,,,,802632928085,0.25
,,,,802632988538,0.1
,,,,802824940721,0.1
,,,,802824961335,0.14
,,,,802720988330,0.1
,,,,802824915740,0.15
,,,,802824919162,0.15
,,,,880150169567677116,0.44
,,,,802632783711,0.04
,,,,802720880699,0.15
,,,,802632760688,0.1
,,,,880150022852203479,0.7
,,,,100188599098,0.55
,,,,802720941678,0.15
,,,,100360187157,1.65
,,,,100363342358,0.15
,,,,802720925068,0.15
,,,,802824906096,0.08
,,,,802720948232,0.05
,,,,880153075311011550,0.15
,,,,880153490116586207,0.3
,,,,880151473453011550,0.6
,,,,802720979399,0.1
,,,,802720973309,0.12
,,,,560079876208,0.45
,,,,802633075090,0.15
,,,,802720930685,0.1
,,,,802633046956,0.15
,,,,802720971134,0.04
,,,,500132985582,0.4
,,,,802824901449,0.05
,,,,802720953050,0.14
,,,,880151863124182267,0.62
,,,,802720921094,0.15
,,,,100348098444,0.6
,,,,802824944819,0.2
,,,,802720947624,0.15
,,,,802720941778,0.15
,,,,802632741193,0.48
,,,,100348095995,0.4
,,,,802633054248,0.15
,,,,802720900682,0.2
,,,,802720928987,0.15
,,,,802632936923,0.05
,,,,802632794733,0.1
,,,,802633078057,0.12
,,,,802824900892,0.14
,,,,802547009157,0.1
,,,,100360189191,0.4
,,,,802633019395,0.15
,,,,802720951669,0.1
,,,,802824942406,0.35
,,,,802720952741,0.1
,,,,880150303368738722,0.65
,,,,500147998020,0.25
,,,,802720948821,0.12
,,,,802633066514,0.12
,,,,802720920524,0.05
,,,,500132985819,1.55
,,,,802720956771,0.1
,,,,500147990317,1.16
,,,,802720926201,0.1
,,,,802633044231,0.1
,,,,802632763464,0.05
,,,,802720931408,0.05
,,,,200172513048,1
,,,,802633085590,0.05
,,,,802633086612,0.04
,,,,100360187158,0.45
,,,,D00011350549,0.45
,,,,802632798076,0.15
,,,,802720974572,0.12
,,,,802720930886,0.16
,,,,802720933184,0.1
,,,,802633085170,0.05
,,,,802720813632,0.1
,,,,802720926712,0.15
,,,,560093843941,0.15
,,,,880150769428091358,0.25
,,,,802547008984,0.2
,,,,880149352254506409,0.05
,,,,802824916842,0.25
,,,,880153723108718520,0.3
,,,,802720915434,0.1
,,,,560079876200,0.09
,,,,802632778948,0.08
,,,,802632921895,0.15
,,,,880152574087586207,0.1
,,,,802824941461,0.1
,,,,3803958082,0.15
,,,,600046280817,0.2
,,,,802720917393,0.1
,,,,802720949867,0.1
,,,,802633043591,0.15
,,,,802633081010,0.1
,,,,802720959956,0.05
,,,,100293625311,0.24
,,,,880150036938304489,0.85
,,,,802633077817,0.15
,,,,802632924264,0.3
,,,,802720973963,0.06
,,,,100363329822,0.27
,,,,100374194727,0.96
,,,,802720946193,0.12
,,,,802633049449,0.15
,,,,802824902043,0.05
,,,,600093465387,0.2
,,,,100374194441,0.3
,,,,802632740911,0.95
,,,,500147990643,0.16
,,,,100363334863,0.3
,,,,802632938872,0.15
,,,,802720881971,0.15
,,,,500132958234,1.75
,,,,802720968325,0.15
,,,,802633011030,0.15
,,,,802632787817,0.15
,,,,802632928203,0.3
,,,,9206550451,0.2
,,,,880151412453304489,0.05
,,,,880150809023647813,0.25
,,,,100374194061,0.77
,,,,100363334838,0.25
,,,,802720961784,0.1
,,,,802720839957,0.05
,,,,802633055967,0.1
,,,,802720923021,0.1
,,,,802720929996,0.1
,,,,100363326064,0.38
,,,,100360194779,0.4
,,,,802720945780,0.15
,,,,802824905196,0.15
,,,,802720951055,0.1
,,,,200172513077,0.65
,,,,500147990295,1.09
,,,,802632794288,0.4
,,,,802633063548,0.15
,,,,802720932779,0.14
,,,,802720926340,0.15
,,,,802547044915,0.12
,,,,802824915065,0.1
,,,,802632792828,0.05
,,,,100374198079,0.4
,,,,880154242918465095,0.05
,,,,802633071172,0.14
,,,,880150350033879136,0.6
,,,,560093847408,0.25
,,,,100363334774,0.9
,,,,802720899767,0.1
,,,,802720931007,0.05
,,,,100363312114,0.85
,,,,802720867232,0.15
,,,,802720976265,0.1
,,,,100348098916,0.4
,,,,802633077267,0.15
,,,,802720955661,0.22
,,,,600066081966,0.58
,,,,802720923136,0.1
,,,,802546920458,0.12
,,,,500132988001,0.24
,,,,100360187140,10.25
,,,,200172513073,1
,,,,802720918218,0.15
,,,,802824906426,0.14
,,,,802632988517,0.15
,,,,880149321734314580,0.05
,,,,880151087032314580,0.2
,,,,802633079572,0.15
,,,,100306951681,0.2
,,,,100348124400,0.6
,,,,802720950244,0.1
,,,,802824916020,0.1
,,,,802632868334,0.1
,,,,802633053100,0.15
,,,,100363327267,0.14
,,,,100348079521,1
,,,,802632934166,0.15
,,,,802633042736,0.1
,,,,880148518951728621,0.15
,,,,880149930785758924,0.45
,,,,802720966724,0.15
,,,,802633043481,0.15
,,,,802633055856,0.1
,,,,802633071673,0.1
,,,,802720952141,0.14
,,,,D00017352346,0.2
,,,,802720969308,0.15
,,,,880153067483526601,0.35
,,,,200172513041,0.2
,,,,802633079635,0.1
,,,,802824902848,0.14
,,,,802720869597,0.8
,,,,802720869597,0.8
,,,,802632923539,0.05
,,,,802720867577,0.15
,,,,802633015106,0.15
,,,,802633022583,0.15
,,,,802367165784,0.5
,,,,802632743911,0.45
,,,,802632921942,0.25
,,,,802632780154,0.06
,,,,802632797786,0.05
,,,,802824908755,0.15
,,,,802720832381,0.1
,,,,802824902181,0.12
,,,,802720940376,0.15
,,,,802824924060,0.2
,,,,802633060488,0.12
,,,,802720972252,0.06
,,,,802632922403,0.05
,,,,802720959458,0.1
,,,,880148910243910540,0.15
,,,,100363342393,3.9
,,,,802720911527,0.15
,,,,802633050367,0.1
,,,,802824945390,0.2
,,,,802632928834,0.32
,,,,802633056024,0.05
,,,,802633081909,0.45
,,,,802632766096,0.1
,,,,802633057638,0.1
,,,,802632753348,0.1
,,,,802720947375,0.15
,,,,100348098017,1.05
,,,,880150980584081257,0.4
,,,,802632922954,0.15
,,,,100360418104,0.33
,,,,880151102942243873,0.65
,,,,802633052371,0.08
,,,,802824915219,0.1
,,,,880153843534516500,1.1
,,,,802633083360,0.04
,,,,802632923509,0.15
,,,,802546979153,0.15
,,,,802720940902,0.14
,,,,880150286390607419,0.1
,,,,880149444955859934,0.86
,,,,880149904617647813,0.85
,,,,802720933396,0.15
,,,,802824946531,0.12
,,,,880146870995192368,0.7
,,,,880147049640910540,0.28
,,,,802633078915,0.16
,,,,880149923350990348,0.1
,,,,802720958529,0.1
,,,,500132997218,3.6
,,,,802720950901,0.05
,,,,802824913039,0.25
,,,,802720918881,0.16
,,,,802633078466,0.05
,,,,802720949316,0.06
,,,,880146471040051954,0.2
,,,,802632936808,0.4
,,,,500132988234,28.9
,,,,802632798555,0.15
,,,,802824914269,0.3
,,,,802720961168,0.15
,,,,560093812214,0.99
,,,,100363334667,0.3
,,,,500147999420,0.2
,,,,880152034271980247,0.85
,,,,802720982538,0.1
,,,,8968322941,0.1
,,,,880150753702738722,0.25
,,,,802632930629,0.15
,,,,802720943356,0.15
,,,,880150372696293378,0.86
,,,,802720948218,0.05
,,,,802633071150,0.12
,,,,100246989697,1.75
,,,,802632923702,0.4
,,,,802546920532,0.1
,,,,802632863438,0.3
,,,,880150965601839732,0.45
,,,,802824921658,0.25
,,,,560039189886,0.35
,,,,500133889372,0.3
,,,,802632743504,0.4
,,,,100360418786,0.35
,,,,802367164042,0.05
,,,,802824900341,0.16
,,,,880140710493768025,0.16
,,,,802720967853,0.1
,,,,802720929327,0.15
,,,,100363304776,0.46
,,,,880152471885162065,0.15
,,,,500132997210,2.6
,,,,802720901238,0.05
,,,,100360196419,0.45
,,,,100363334822,0.15
,,,,802632791491,0.04
,,,,200166959926,0.28
,,,,802720968697,0.08
,,,,802824924675,0.25
,,,,500132997796,0.1
,,,,880149524877445893,0.3
,,,,500148572817,0.2
,,,,802633068552,0.06
,,,,500148572882,0.15
,,,,200171826211,0.3
,,,,100363304037,0.22
,,,,880150263713637712,0.3
,,,,802720926879,0.08
,,,,802633022014,0.15
,,,,100360189455,0.5
,,,,802720928788,0.15
,,,,100360418798,0.35
,,,,802824907639,0.08
,,,,500147980328,0.24
,,,,880150301220697318,0.85
,,,,802824900444,0.15
,,,,802720976158,0.1
,,,,802720832702,0.05
,,,,802824901343,0.1
,,,,802632793300,0.1
,,,,200166959964,0.81
,,,,802720926584,0.1
,,,,802632757791,0.1
,,,,802824943612,0.15
,,,,802633046397,0.25
,,,,802824904932,0.08
,,,,100363326779,0.35
,,,,802720932978,0.15
,,,,802367164601,0.5
,,,,802632866612,0.1
,,,,802824914149,0.15
,,,,802720975486,0.15
,,,,802824911108,0.45
,,,,802546977613,0.25
,,,,100374198050,0.15
,,,,880149917228980247,1.22
,,,,802632924782,0.2
,,,,802720901053,0.04
,,,,802632776695,0.1
,,,,500132988231,13.35
,,,,880149201855788227,0.84
,,,,802824946642,0.1
,,,,802824947387,0.1
,,,,560079876464,0.75
,,,,802720890352,0.16
,,,,802720958271,0.08
,,,,802720960456,0.05
,,,,802632936710,0.15
,,,,802720972473,0.1
,,,,880149438392091358,0.35
,,,,560093814287,0.25
,,,,100363329519,0.15
,,,,500132955718,1.46
,,,,880147800183889237,0.2
,,,,802632796803,0.08
,,,,802632745039,0.5
,,,,880149801376425691,0.3
,,,,802546979056,0.15
,,,,802824916936,0.25
,,,,802720934663,0.15
,,,,100363326568,0.5
,,,,802152756855,0.08
,,,,880147949696859934,0.2
,,,,500132953886,0.25
,,,,802824918071,0.2
,,,,802152756689,0.09
,,,,802720946600,0.15
,,,,802632783354,0.02
,,,,880150062159081257,0.86
,,,,802720913897,0.2
,,,,100360187156,0.35
,,,,802720903586,0.15
,,,,802720911617,0.15
,,,,880152450737021651,0.3
,,,,802720941129,0.14
,,,,802633076637,0.06
,,,,100360196366,0.1
,,,,500132966686,0.64
,,,,802720899098,0.2
,,,,802720914213,0.15
,,,,802824921097,0.25
,,,,802632734977,0.5
,,,,802720937933,0.08
,,,,802720949801,0.1
,,,,880153691311455994,0.26
,,,,802720932744,0.15
,,,,500147980084,0.37
,,,,802720925578,0.15
,,,,880153098924031752,0.25
,,,,802824903253,0.15
,,,,200172513059,0.5
,,,,802720951018,0.15
,,,,802720933693,0.1
,,,,100363326768,0.09
,,,,100360418864,0.67
,,,,802546975124,0.15
,,,,802633061348,0.08
,,,,880145677845839732,0.35
,,,,100374194545,0.3
,,,,880153795039243873,0.36
,,,,802546976266,0.25
,,,,802632744135,0.4
,,,,500132962706,0.65
,,,,880149904616485297,0.88
,,,,802720910860,0.15
,,,,802824919912,0.2
,,,,802720936271,0.15
,,,,802720955154,0.1
,,,,880146747680748823,0.15
,,,,802547003074,0.2
,,,,802720973227,0.1
,,,,802720931300,0.05
,,,,880151479797798328,0.22
,,,,802546973450,0.25
,,,,802633052622,0.15
,,,,802720832722,0.1
,,,,802720932985,0.08
,,,,500132962662,1.9
,,,,802633054819,0.1
,,,,100306951692,0.2
,,,,880152574082081257,1.8
,,,,802152756416,0.1
,,,,802633050281,0.15
,,,,802824922995,0.15
,,,,802720905931,0.05
,,,,802720950273,0.08
,,,,802633051581,0.1
,,,,802720945930,0.1
,,,,802633080680,0.05
,,,,802632741089,0.5
,,,,880148827599384287,0.45
,,,,802824915677,0.25
,,,,802824901220,0.05
,,,,802632789236,0.1
,,,,802824913528,0.1
,,,,100360418287,0.23
,,,,802824922808,0.15
,,,,100363334837,0.75
,,,,802720892345,0.25
,,,,802720978933,0.1
,,,,100293625308,0.12
,,,,802632914476,0.15
,,,,802720895911,0.4
,,,,500132981971,0.2
,,,,500147990876,0.95
,,,,802367165212,0.05
,,,,802633083870,0.15
,,,,802720848062,0.15
,,,,802720872764,0.15
,,,,802824901927,0.15
,,,,802720952394,0.05
,,,,802824904166,0.15
,,,,802633046487,0.1
,,,,802720981807,0.1
,,,,200171838294,1.32
,,,,802633059232,0.08
,,,,802632934958,0.15
,,,,802632744026,0.45
,,,,802720988155,0.1
,,,,802632923826,0.15
,,,,802720902949,0.15
,,,,560093847356,0.45
,,,,802632789509,0.1
,,,,802720974897,0.15
,,,,802632757370,0.2
,,,,802720934415,0.05
,,,,100360196397,0.2
,,,,100348083512,0.05
,,,,880143387342243873,0.15
,,,,802633066460,0.15
,,,,802720929232,0.15
,,,,802824940194,0.25
,,,,200171826651,0.15
,,,,500132962563,1
,,,,880150013412415590,0.35
